1,v01,JGD2000,2016/08/05 15:30:00,20160805150000,99,[gis][pga][al][ah][sinj],jshis,M1,4829
2,129.984376,32.247916,129.987500,32.250000,4.6,104.928588,4829279844,0,0.000065,0
2,129.996875,32.254166,130.000001,32.256250,4.6,122.023827,4829370942,0,0.000046,0
2,129.981250,32.243750,129.984376,32.245833,4.5,104.783331,4829279823,0,0.000064,0
2,129.984376,32.243750,129.987500,32.245833,4.5,115.8769,4829279824,0,0.000023,0
2,129.984376,32.245833,129.987500,32.247916,4.5,105.110676,4829279842,0,0.000087,0
2,129.968751,32.143750,129.971875,32.145833,4.4,100.680346,4829177723,0,0,0
2,129.971874,32.143750,129.975001,32.145833,4.4,89.889532,4829177724,0,0,0
2,129.971874,32.145833,129.975001,32.147916,4.4,97.591807,4829177742,0,0,0
2,129.971874,32.147916,129.975001,32.150000,4.4,83.712454,4829177744,0,0,0
2,129.937501,32.175000,129.940625,32.177083,4.4,83.241978,4829271511,0,0,0
2,129.940624,32.175000,129.943751,32.177083,4.4,93.106392,4829271512,0,0,0
2,129.946876,32.177083,129.950000,32.179166,4.4,94.323868,4829271524,0,0,0
2,129.946876,32.179166,129.950000,32.181250,4.4,94.614943,4829271542,0,0,0
2,129.950000,32.177083,129.953126,32.179166,4.4,83.533053,4829271613,0,0,0
2,129.950000,32.179166,129.953126,32.181250,4.4,83.824129,4829271631,0,0,0
2,129.965625,32.179166,129.968751,32.181250,4.4,93.688543,4829271732,0,0,0
2,129.965625,32.181250,129.968751,32.183333,4.4,83.188805,4829271734,0,0,0
2,129.968751,32.181250,129.971875,32.183333,4.4,93.053219,4829271743,0,0,0
2,129.962501,32.183333,129.965625,32.185416,4.4,93.344294,4829272711,0,0,0
2,129.996875,32.191666,130.000001,32.193750,4.4,83.117368,4829273922,0,0,0
2,129.968751,32.200000,129.971875,32.202083,4.4,87.661284,4829274721,0,0,0
2,129.993751,32.318750,129.996875,32.320833,4.4,95.314573,4829378923,0,0,0
2,129.990626,32.322916,129.993751,32.325000,4.4,89.085939,4829378934,0,0,0
2,129.968751,32.177083,129.971875,32.179166,4.3,83.049133,4829271723,0,0,0
2,129.971874,32.177083,129.975001,32.179166,4.3,91.820581,4829271724,0,0,0
2,129.962501,32.181250,129.965625,32.183333,4.3,83.566782,4829271733,0,0,0
2,129.968751,32.179166,129.971875,32.181250,4.3,73.712753,4829271741,0,0,0
2,129.971874,32.179166,129.975001,32.181250,4.3,82.484201,4829271742,0,0,0
2,129.971874,32.181250,129.975001,32.183333,4.3,91.514474,4829271744,0,0,0
2,129.965625,32.183333,129.968751,32.185416,4.3,91.773299,4829272712,0,0,0
2,129.962501,32.185416,129.965625,32.187500,4.3,74.489227,4829272713,0,0,0
2,129.965625,32.185416,129.968751,32.187500,4.3,83.260675,4829272714,0,0,0
2,129.968751,32.183333,129.971875,32.185416,4.3,82.178095,4829272721,0,0,0
2,129.996875,32.189583,130.000001,32.191666,4.3,89.544616,4829272944,0,0,0
2,129.996875,32.193750,130.000001,32.195833,4.3,76.638148,4829273924,0,0,0
2,129.990626,32.195833,129.993751,32.197916,4.3,84.844665,4829273932,0,0,0
2,129.987499,32.197916,129.990626,32.200000,4.3,90.579914,4829273933,0,0,0
2,129.990626,32.197916,129.993751,32.200000,4.3,80.984711,4829273934,0,0,0
2,129.993751,32.195833,129.996875,32.197916,4.3,75.249461,4829273941,0,0,0
2,129.996875,32.195833,130.000001,32.197916,4.3,84.020909,4829273942,0,0,0
2,129.993751,32.197916,129.996875,32.200000,4.3,89.756159,4829273943,0,0,0
2,129.996875,32.197916,130.000001,32.200000,4.3,80.160955,4829273944,0,0,0
2,129.971874,32.200000,129.975001,32.202083,4.3,86.71996,4829274722,0,0,0
2,129.968751,32.202083,129.971875,32.204166,4.3,75.736069,4829274723,0,0,0
2,129.971874,32.202083,129.975001,32.204166,4.3,84.507517,4829274724,0,0,0
2,129.968751,32.204166,129.971875,32.206250,4.3,83.942585,4829274741,0,0,0
2,129.971874,32.204166,129.975001,32.206250,4.3,74.347382,4829274742,0,0,0
2,129.971874,32.206250,129.975001,32.208333,4.3,82.553898,4829274744,0,0,0
2,129.975001,32.204166,129.978126,32.206250,4.3,83.11883,4829274831,0,0,0
2,129.975001,32.206250,129.978126,32.208333,4.3,91.325346,4829274833,0,0,0
2,129.990626,32.200000,129.993751,32.202083,4.3,77.124756,4829274912,0,0,0
2,129.993751,32.200000,129.996875,32.202083,4.3,85.896204,4829274921,0,0,0
2,129.996875,32.200000,130.000001,32.202083,4.3,76.301,4829274922,0,0,0
2,129.993751,32.202083,129.996875,32.204166,4.3,74.912313,4829274923,0,0,0
2,129.996875,32.202083,130.000001,32.204166,4.3,83.683761,4829274924,0,0,0
2,129.996875,32.204166,130.000001,32.206250,4.3,73.523626,4829274942,0,0,0
2,129.996875,32.206250,130.000001,32.208333,4.3,81.730143,4829274944,0,0,0
2,129.996875,32.208333,130.000001,32.210416,4.3,90.760415,4829275922,0,0,0
2,129.996875,32.210416,130.000001,32.212500,4.3,79.776524,4829275924,0,0,0
2,129.996875,32.212500,130.000001,32.214583,4.3,75.092814,4829275942,0,0,0
2,129.996875,32.214583,130.000001,32.216666,4.3,79.180551,4829275944,0,0,0
2,129.996875,32.216666,130.000001,32.218750,4.3,84.092044,4829276922,0,0,0
2,129.981250,32.235416,129.984376,32.237500,4.3,83.172287,4829278823,0,0,0
2,129.975001,32.239583,129.978126,32.241666,4.3,82.332291,4829278833,0,0,0
2,129.981250,32.237500,129.984376,32.239583,4.3,78.778443,4829278841,0,0,0
2,129.990626,32.318750,129.993751,32.320833,4.3,75.982377,4829378914,0,0,0
2,129.990626,32.320833,129.993751,32.322916,4.3,78.422603,4829378932,0,0,0
2,129.987499,32.325000,129.990626,32.327083,4.3,88.779478,4829379911,0,0,0
2,129.987499,32.375000,129.990626,32.377083,4.3,85.669693,4829475911,0,0,0
2,129.996875,32.377083,130.000001,32.379166,4.3,90.29132,4829475924,0,0,0
2,129.984376,32.237500,129.987500,32.239583,4.2,77.849461,4829278842,0,0,0
2,129.993751,32.235416,129.996875,32.237500,4.2,65.424824,4829278923,0,0,0
2,129.996875,32.235416,130.000001,32.237500,4.2,73.224406,4829278924,0,0,0
2,129.987499,32.237500,129.990626,32.239583,4.2,69.317395,4829278931,0,0,0
2,129.990626,32.237500,129.993751,32.239583,4.2,77.116976,4829278932,0,0,0
2,129.987499,32.239583,129.990626,32.241666,4.2,81.009547,4829278933,0,0,0
2,129.990626,32.239583,129.993751,32.241666,4.2,72.477481,4829278934,0,0,0
2,129.993751,32.237500,129.996875,32.239583,4.2,68.58491,4829278941,0,0,0
2,129.996875,32.237500,130.000001,32.239583,4.2,76.384491,4829278942,0,0,0
