1,v01,JGD2000,2016/08/05 15:30:00,20160805150000,99,[gis][pga][al][ah][sinj],jshis,M1,5541
2,141.006251,37.143750,141.009376,37.145833,3.1,21.840155,5541507023,0,0,0
2,141.000001,37.145833,141.003125,37.147916,3.1,21.198745,5541507031,0,0,0
2,141.003125,37.145833,141.006251,37.147916,3.1,18.854224,5541507032,0,0,0
2,141.003125,37.147916,141.006251,37.150000,3.1,18.011534,5541507034,0,0,0
2,141.006251,37.145833,141.009376,37.147916,3.1,20.997466,5541507041,0,0,0
2,141.006251,37.147916,141.009376,37.150000,3.1,20.154777,5541507043,0,0,0
2,141.000001,37.147916,141.003125,37.150000,3.0,18.100628,5541507033,0,0,0
2,141.000001,37.197916,141.003125,37.200000,3.0,19.721883,5541603033,0,0,0
2,141.000001,37.200000,141.003125,37.202083,3.0,16.539817,5541604011,0,0,0
2,141.000001,37.100000,141.003125,37.102083,2.9,16.710671,5541502011,0,0,0
2,141.003125,37.106250,141.006251,37.108333,2.9,16.565545,5541502034,0,0,0
2,141.003125,37.108333,141.006251,37.110416,2.9,16.535837,5541503012,0,0,0
2,141.000001,37.139583,141.003125,37.141666,2.9,16.166787,5541506033,0,0,0
2,141.000001,37.141666,141.003125,37.143750,2.9,16.399371,5541507011,0,0,0
2,141.000001,37.143750,141.003125,37.145833,2.9,17.427691,5541507013,0,0,0
2,141.000001,37.154166,141.003125,37.156250,2.9,16.960855,5541508031,0,0,0
2,141.000001,37.189583,141.003125,37.191666,2.9,16.777246,5541602033,0,0,0
2,141.000001,37.206250,141.003125,37.208333,2.9,17.285311,5541604033,0,0,0
2,141.003125,37.208333,141.006251,37.210416,2.9,15.513842,5541605012,0,0,0
2,141.003125,37.216666,141.006251,37.218750,2.9,14.784991,5541606012,0,0,0
2,141.000001,37.218750,141.003125,37.220833,2.9,15.026433,5541606013,0,0,0
2,141.003125,37.218750,141.006251,37.220833,2.9,16.721049,5541606014,0,0,0
2,141.012501,37.227083,141.015626,37.229166,2.9,17.36852,5541607113,0,0,0
