1,v01,JGD2000,2016/08/05 15:30:00,20160805150000,99,[gis][pga][al][ah][sinj],jshis,M1,4540
2,140.293751,30.472916,140.296876,30.475000,2.3,8.55343,4540526343,0,0,0
2,140.290626,30.475000,140.293751,30.477083,2.3,7.424395,4540527312,0,0,0
2,140.287501,30.479166,140.290626,30.481250,2.3,8.59566,4540527331,0,0,0
2,140.312501,30.489583,140.315625,30.491666,2.3,8.763166,4540528533,0,0,0
2,140.290626,30.489583,140.293751,30.491666,2.2,7.257218,4540528334,0,0,0
2,140.303126,30.489583,140.306251,30.491666,2.2,7.117314,4540528434,0,0,0
2,140.290626,30.491666,140.293751,30.493750,2.2,6.812893,4540529312,0,0,0
2,140.303126,30.491666,140.306251,30.493750,2.2,6.672989,4540529412,0,0,0
2,140.300000,30.493750,140.303126,30.495833,2.2,7.113421,4540529413,0,0,0
2,140.303126,30.493750,140.306251,30.495833,2.2,6.298615,4540529414,0,0,0
2,140.306251,30.491666,140.309376,30.493750,2.2,7.417843,4540529421,0,0,0
2,140.306251,30.493750,140.309376,30.495833,2.2,7.04347,4540529423,0,0,0
2,140.296876,30.472916,140.300000,30.475000,2.1,6.038488,4540526344,0,0,0
2,140.300000,30.472916,140.303126,30.475000,2.1,6.700813,4540526433,0,0,0
2,140.303126,30.472916,140.306251,30.475000,2.1,5.976287,4540526434,0,0,0
2,140.306251,30.472916,140.309376,30.475000,2.1,6.638612,4540526443,0,0,0
2,140.290626,30.477083,140.293751,30.479166,2.1,6.302257,4540527314,0,0,0
2,140.293751,30.475000,140.296876,30.477083,2.1,6.532636,4540527321,0,0,0
2,140.296876,30.475000,140.300000,30.477083,2.1,5.808109,4540527322,0,0,0
2,140.293751,30.477083,140.296876,30.479166,2.1,5.577731,4540527323,0,0,0
2,140.296876,30.477083,140.300000,30.479166,2.1,6.240056,4540527324,0,0,0
2,140.290626,30.479166,140.293751,30.481250,2.1,6.071878,4540527332,0,0,0
2,140.287501,30.481250,140.290626,30.483333,2.1,5.903701,4540527333,0,0,0
2,140.290626,30.481250,140.293751,30.483333,2.1,6.566026,4540527334,0,0,0
2,140.293751,30.479166,140.296876,30.481250,2.1,6.734203,4540527341,0,0,0
2,140.296876,30.479166,140.300000,30.481250,2.1,6.009677,4540527342,0,0,0
2,140.293751,30.481250,140.296876,30.483333,2.1,5.8415,4540527343,0,0,0
2,140.296876,30.481250,140.300000,30.483333,2.1,6.503825,4540527344,0,0,0
