1,v01,JGD2000,2016/08/05 15:30:00,20160805150000,99,[gis][pga][al][ah][sinj],jshis,M1,5031
2,131.621875,33.402083,131.625001,33.404166,5.9,531.01923,5031048924,0.776957,4.484698,0.034751
2,131.637500,33.397916,131.640626,33.400000,5.9,565.088038,5031057133,0.38472,2.222597,0.013015
2,131.628124,33.400000,131.631251,33.402083,5.9,530.128306,5031058012,0,0,0
2,131.625001,33.402083,131.628125,33.404166,5.9,588.440302,5031058013,2.94554,16.98551,0.167385
2,131.628124,33.402083,131.631251,33.404166,5.9,525.626626,5031058014,0.381735,2.181795,0.063718
2,131.634376,33.400000,131.637500,33.402083,5.9,524.735702,5031058022,0.181857,1.030993,0.048489
2,131.634376,33.402083,131.637500,33.404166,5.9,520.234022,5031058024,1.224802,7.064128,0.066837
2,131.625001,33.404166,131.628125,33.406250,5.9,499.55453,5031058031,0.592115,3.412904,0.036966
2,131.628124,33.404166,131.631251,33.406250,5.9,556.975601,5031058032,0.33663,1.944773,0.011388
2,131.634376,33.404166,131.637500,33.406250,5.9,551.582997,5031058042,2.527765,14.5641,0.170187
2,131.634376,33.406250,131.637500,33.408333,5.9,482.370069,5031058044,0,0,0
2,131.637500,33.402083,131.640626,33.404166,5.9,577.655094,5031058113,0.04809,0.277825,0.001627
2,131.637500,33.404166,131.640626,33.406250,5.9,488.769322,5031058131,0,0,0
2,131.637500,33.406250,131.640626,33.408333,5.9,539.791141,5031058133,0,0,0
2,131.631251,33.408333,131.634376,33.410416,5.9,596.205565,5031059021,1.265375,7.30245,0.059742
2,131.634376,33.408333,131.637500,33.410416,5.9,533.391889,5031059022,0,0,0
2,131.628124,33.414583,131.631251,33.416666,5.9,555.437392,5031059034,1.315012,7.538173,0.171497
2,131.631251,33.414583,131.634376,33.416666,5.9,492.623716,5031059043,0.867167,4.958743,0.139412
2,131.634376,33.414583,131.637500,33.416666,5.9,550.044788,5031059044,0,0,0
2,131.637500,33.408333,131.640626,33.410416,5.9,590.812961,5031059111,0,0,0
2,131.625001,33.416666,131.628125,33.418750,5.9,579.496191,5031150011,1.275987,7.257751,0.288721
2,131.628124,33.416666,131.631251,33.418750,5.9,516.682515,5031150012,0.64927,3.688131,0.157443
2,131.625001,33.418750,131.628125,33.420833,5.9,546.133919,5031150013,0.92576,5.316874,0.099057
2,131.628124,33.418750,131.631251,33.420833,5.9,483.320243,5031150014,1.032442,5.952829,0.060329
2,131.631251,33.416666,131.634376,33.418750,5.9,574.103587,5031150021,0.70333,4.04756,0.057663
2,131.634376,33.416666,131.637500,33.418750,5.9,511.289911,5031150022,0.055607,0.317328,0.010349
2,131.631251,33.418750,131.634376,33.420833,5.9,540.741315,5031150023,0.392238,2.262101,0.021737
2,131.634376,33.418750,131.637500,33.420833,5.9,598.162387,5031150024,0.103698,0.595153,0.011975
2,131.631251,33.420833,131.634376,33.422916,5.9,521.659283,5031150041,0.111215,0.634657,0.020697
2,131.653125,33.418750,131.656251,33.420833,5.9,524.563503,5031150214,0.055607,0.317328,0.010349
2,131.603126,33.370833,131.606250,33.372916,5.8,482.587963,5031044832,0.317769,2.651607,0.05352
2,131.596874,33.402083,131.600001,33.404166,5.8,491.363331,5031048724,0.328722,2.736065,0.031787
2,131.593751,33.404166,131.596875,33.406250,5.8,468.179994,5031048741,0.801634,6.749895,0.042619
2,131.596874,33.404166,131.600001,33.406250,5.8,519.238875,5031048742,0,0,0
2,131.593751,33.406250,131.596875,33.408333,5.8,513.548653,5031048743,0.357184,2.965451,0.037917
2,131.596874,33.406250,131.600001,33.408333,5.8,457.694662,5031048744,0,0,0
2,131.600001,33.402083,131.603126,33.404166,5.8,435.50934,5031048813,0.224049,1.873177,0.017913
2,131.606250,33.402083,131.609376,33.404166,5.8,430.714231,5031048823,0.066098,0.513428,0.022903
2,131.600001,33.404166,131.603126,33.406250,5.8,463.384884,5031048831,0.458211,3.866428,0.020668
2,131.603126,33.406250,131.606250,33.408333,5.8,452.899552,5031048834,0,0,0
