1,v01,JGD2000,2016/08/05 15:30:00,20160805150000,99,[gis][pga][al][ah][sinj],jshis,M1,5531
2,131.865626,37.237500,131.868751,37.239583,3.1,19.032005,5531668932,0,0,0
2,131.862499,37.239583,131.865626,37.241666,3.1,20.87677,5531668933,0,0,0
2,131.865626,37.239583,131.868751,37.241666,3.1,18.532248,5531668934,0,0,0
2,131.868751,37.237500,131.871875,37.239583,3.1,21.175247,5531668941,0,0,0
2,131.868751,37.239583,131.871875,37.241666,3.1,20.675491,5531668943,0,0,0
2,131.871875,37.239583,131.875001,37.241666,3.1,18.330969,5531668944,0,0,0
2,131.859376,37.241666,131.862500,37.243750,3.1,20.578292,5531669822,0,0,0
2,131.862499,37.241666,131.865626,37.243750,3.1,18.233771,5531669911,0,0,0
2,131.865626,37.241666,131.868751,37.243750,3.1,20.377013,5531669912,0,0,0
2,131.862499,37.243750,131.865626,37.245833,3.1,18.539131,5531669913,0,0,0
2,131.868751,37.241666,131.871875,37.243750,3.1,18.032492,5531669921,0,0,0
2,131.862499,37.245833,131.865626,37.247916,3.1,21.390291,5531669931,0,0,0
3,12
