1,v01,JGD2000,2016/08/05 15:30:00,20160805150000,99,[gis][pga][al][ah][sinj],jshis,M1,4631
2,131.087501,31.277083,131.090625,31.279166,5.2,260.815051,4631703713,0,0,0
2,131.068751,31.266666,131.071876,31.268750,5.1,214.43516,4631702521,0.000178,0.00837,0.000347
2,131.071876,31.266666,131.075000,31.268750,5.1,189.885006,4631702522,0.000306,0.042727,0.000351
2,131.068751,31.268750,131.071876,31.270833,5.1,190.157471,4631702523,0.00042,0.033918,0.000695
2,131.071876,31.268750,131.075000,31.270833,5.1,212.599974,4631702524,0,0,0
2,131.071876,31.270833,131.075000,31.272916,5.1,228.991991,4631702542,0.000011,0.002863,0
2,131.071876,31.272916,131.075000,31.275000,5.1,229.264456,4631702544,0.00054,0.105716,0.000359
2,131.075000,31.268750,131.078126,31.270833,5.1,188.049821,4631702613,0.000168,0.005507,0.000346
2,131.078126,31.270833,131.081250,31.272916,5.1,226.884341,4631702632,0.000781,0.190287,0.000197
2,131.081249,31.270833,131.084376,31.272916,5.1,202.334188,4631702641,0.000757,0.144258,0.000537
2,131.081249,31.272916,131.084376,31.275000,5.1,202.606652,4631702643,0.001389,0.136113,0.002091
2,131.071876,31.275000,131.075000,31.277083,5.1,207.094417,4631703522,0.000484,0.051097,0.000698
2,131.071876,31.277083,131.075000,31.279166,5.1,189.139679,4631703524,0.00072,0.055063,0.001216
2,131.081249,31.277083,131.084376,31.279166,5.1,209.474532,4631703623,0,0,0
2,131.078126,31.279166,131.081250,31.281250,5.1,195.735094,4631703632,0,0,0
2,131.068751,31.289583,131.071876,31.291666,5.1,191.633411,4631704543,0.000883,0.079289,0.001392
2,131.009376,31.227083,131.012500,31.229166,5.0,204.359846,4631607024,0.000199,0.038977,0.000251
2,131.012500,31.227083,131.015626,31.229166,5.0,182.529823,4631607113,0.000077,0.017447,0.000084
2,131.053126,31.277083,131.056251,31.279166,5.0,173.805589,4631703414,0.00001,0.004455,0
2,131.056251,31.277083,131.059375,31.279166,5.0,193.761487,4631703423,0.000045,0.004083,0.000083
2,131.059375,31.277083,131.062501,31.279166,5.0,171.931464,4631703424,0.000192,0.020787,0.000332
2,131.056251,31.279166,131.059375,31.281250,5.0,201.500263,4631703441,0,0,0
2,131.059375,31.279166,131.062501,31.281250,5.0,179.670239,4631703442,0.000313,0.011506,0.000661
2,131.056251,31.281250,131.059375,31.283333,5.0,171.201365,4631703443,0,0,0
2,131.059375,31.281250,131.062501,31.283333,5.0,191.157264,4631703444,0,0,0
2,131.062501,31.279166,131.065625,31.281250,5.0,199.626138,4631703531,0.00019,0.004825,0.000413
2,131.065624,31.279166,131.068751,31.281250,5.0,177.796114,4631703532,0.000152,0.018931,0.000249
2,131.062501,31.281250,131.065625,31.283333,5.0,169.32724,4631703533,0.00016,0.007423,0.000331
2,131.068751,31.279166,131.071876,31.281250,5.0,197.752013,4631703541,0,0,0
2,131.081249,31.275000,131.084376,31.277083,5.0,202.230361,4631703621,0.00039,0.028952,0.000745
2,131.062501,31.283333,131.065625,31.285416,5.0,180.814265,4631704511,0.00008,0.003712,0.000165
2,131.065624,31.283333,131.068751,31.285416,5.0,200.770164,4631704512,0.000196,0.052712,0.000169
2,131.062501,31.285416,131.065625,31.287500,5.0,197.923665,4631704513,0.000008,0.003341,0
2,131.065624,31.285416,131.068751,31.287500,5.0,176.093641,4631704514,0.000061,0.010765,0.000083
2,131.062501,31.287500,131.065625,31.289583,5.0,193.203041,4631704531,0.00017,0.026727,0.00025
2,131.065624,31.287500,131.068751,31.289583,5.0,171.373017,4631704532,0.000165,0.024499,0.000249
2,131.071876,31.291666,131.075000,31.293750,5.0,191.258293,4631705522,0.000264,0.021158,0.000497
2,131.000001,31.222916,131.003125,31.225000,4.9,173.755608,4631606033,0,0.000794,0
2,131.003124,31.222916,131.006251,31.225000,4.9,154.344327,4631606034,0,0,0
2,131.006251,31.220833,131.009376,31.222916,4.9,181.687059,4631606041,0,0,0
2,131.006251,31.222916,131.009376,31.225000,4.9,172.089134,4631606043,0,0,0
2,131.000001,31.225000,131.003125,31.227083,4.9,183.568965,4631607011,0,0.011998,0
2,131.003124,31.225000,131.006251,31.227083,4.9,164.157683,4631607012,0,0.016771,0
2,131.006251,31.225000,131.009376,31.227083,4.9,181.902491,4631607021,0,0,0
2,131.009376,31.225000,131.012500,31.227083,4.9,162.491209,4631607022,0,0,0
2,131.096874,31.256250,131.100001,31.258333,4.9,181.217524,4631700744,0,0,0
2,131.100001,31.256250,131.103126,31.258333,4.9,161.806243,4631700833,0,0,0
2,131.068751,31.264583,131.071876,31.266666,4.9,171.00034,4631701543,0,0.004384,0
2,131.096874,31.258333,131.100001,31.260416,4.9,149.276289,4631701722,0,0.001199,0
2,131.100001,31.258333,131.103126,31.260416,4.9,167.021096,4631701811,0,0.001588,0
2,131.075000,31.266666,131.078126,31.268750,4.9,167.882824,4631702611,0,0.008362,0
2,131.084376,31.266666,131.087501,31.268750,4.9,183.961158,4631702622,0,0.00278,0
2,131.075000,31.270833,131.078126,31.272916,4.9,161.647792,4631702631,0,0.021879,0
2,131.075000,31.272916,131.078126,31.275000,4.9,161.863224,4631702633,0,0.035046,0
2,131.078126,31.272916,131.081250,31.275000,4.9,179.608031,4631702634,0,0.053771,0
2,131.103126,31.272916,131.106250,31.275000,4.9,172.942136,4631702834,0,0.003971,0
2,131.115626,31.268750,131.118751,31.270833,4.9,156.432938,4631702914,0,0,0
