1,v01,JGD2000,2016/08/05 15:30:00,20160805150000,99,[gis][pga][al][ah][sinj],jshis,M1,5139
2,139.275001,34.533333,139.278126,34.535416,4.9,183.6597,5139624211,0,0,0
2,139.278126,34.533333,139.281251,34.535416,4.9,164.248418,5139624212,0,0,0
2,139.156251,34.197916,139.159375,34.200000,4.8,161.740143,5139213243,0,0,0
2,139.128125,34.206250,139.131251,34.208333,4.8,146.416687,5139214034,0,0,0
2,139.156251,34.200000,139.159375,34.202083,4.8,152.242673,5139214221,0,0,0
2,139.128125,34.208333,139.131251,34.210416,4.8,141.803673,5139215012,0,0,0
2,139.281251,34.393750,139.284375,34.395833,4.8,158.896553,5139427223,0,0,0
2,139.284375,34.393750,139.287501,34.395833,4.8,141.63602,5139427224,0,0,0
2,139.284375,34.395833,139.287501,34.397916,4.8,152.280276,5139427242,0,0,0
2,139.275001,34.416666,139.278126,34.418750,4.8,141.110177,5139520211,0,0,0
2,139.131251,34.202083,139.134376,34.204166,4.7,132.199776,5139214023,0,0,0
2,139.134376,34.225000,139.137501,34.227083,4.7,138.344099,5139217022,0,0,0
2,139.134376,34.227083,139.137501,34.229166,4.7,126.726659,5139217024,0,0,0
2,139.243751,34.358333,139.246876,34.360416,4.7,143.361961,5139413921,0,0,0
2,139.246876,34.358333,139.250001,34.360416,4.7,128.013876,5139413922,0,0,0
2,139.243751,34.360416,139.246876,34.362500,4.7,139.577063,5139413923,0,0,0
2,139.246876,34.360416,139.250001,34.362500,4.7,124.228977,5139413924,0,0,0
2,139.240626,34.362500,139.243751,34.364583,4.7,127.032305,5139413932,0,0,0
2,139.240626,34.364583,139.243751,34.366666,4.7,135.106215,5139413934,0,0,0
2,139.243751,34.362500,139.246876,34.364583,4.7,141.062746,5139413941,0,0,0
2,139.240626,34.368750,139.243751,34.370833,4.7,139.004898,5139414914,0,0,0
2,139.243751,34.368750,139.246876,34.370833,4.7,123.656812,5139414923,0,0,0
2,139.243751,34.370833,139.246876,34.372916,4.7,129.55909,5139414941,0,0,0
2,139.246876,34.372916,139.250001,34.375000,4.7,125.383863,5139414944,0,0,0
2,139.293751,34.468750,139.296876,34.470833,4.7,123.338606,5139526323,0,0,0
2,139.296876,34.472916,139.300000,34.475000,4.7,143.512691,5139526344,0,0,0
2,139.475001,34.064583,139.478126,34.066666,4.6,115.737135,5139037833,0,0,0
2,139.475001,34.066666,139.478126,34.068750,4.6,111.113688,5139038811,0,0,0
2,139.478126,34.066666,139.481251,34.068750,4.6,123.589571,5139038812,0,0,0
2,139.565625,34.079166,139.568751,34.081250,4.6,118.804435,5139049532,0,0,0
2,139.487500,34.100000,139.490626,34.102083,4.6,115.182771,5139132911,0,0,0
2,139.146876,34.195833,139.150001,34.197916,4.6,111.613806,5139213142,0,0,0
