1,v01,JGD2000,2016/08/05 15:30:00,20160805150000,99,[gis][pga][al][ah][sinj],jshis,M1,5637
2,137.234376,37.335416,137.237500,37.337500,3.9,47.430259,5637010824,0,0,0
2,137.237500,37.335416,137.240626,37.337500,3.9,52.913928,5637010913,0,0,0
2,137.243751,37.335416,137.246876,37.337500,3.9,52.398939,5637010923,0,0,0
2,137.237500,37.337500,137.240626,37.339583,3.9,56.603939,5637010931,0,0,0
2,137.240626,37.337500,137.243751,37.339583,3.9,50.605279,5637010932,0,0,0
2,137.240626,37.339583,137.243751,37.341666,3.9,48.81162,5637010934,0,0,0
2,137.243751,37.337500,137.246876,37.339583,3.9,56.088949,5637010941,0,0,0
2,137.246876,37.337500,137.250001,37.339583,3.9,50.09029,5637010942,0,0,0
2,137.246876,37.339583,137.250001,37.341666,3.9,48.29663,5637010944,0,0,0
2,137.231251,37.347916,137.234376,37.350000,3.9,48.331848,5637011843,0,0,0
2,137.237500,37.350000,137.240626,37.352083,3.9,48.598147,5637012911,0,0,0
2,137.240626,37.350000,137.243751,37.352083,3.9,54.081817,5637012912,0,0,0
2,137.237500,37.400000,137.240626,37.402083,3.9,57.269318,5637018911,0,0,0
2,137.228126,37.410416,137.231251,37.412500,3.9,47.834098,5637019814,0,0,0
2,137.250001,37.339583,137.253125,37.341666,3.9,53.7803,5637020033,0,0,0
2,137.253125,37.339583,137.256251,37.341666,3.9,47.78164,5637020034,0,0,0
2,137.265626,37.333333,137.268750,37.335416,3.9,53.162619,5637020112,0,0,0
2,137.250001,37.341666,137.253125,37.343750,3.9,47.01796,5637021011,0,0,0
2,137.253125,37.341666,137.256251,37.343750,3.9,52.50163,5637021012,0,0,0
2,137.262501,37.350000,137.265626,37.352083,3.9,46.538188,5637022111,0,0,0
2,137.078126,37.435416,137.081250,37.437500,3.9,56.505004,5637102614,0,0,0
2,137.081250,37.433333,137.084376,37.435416,3.9,46.577797,5637102621,0,0,0
2,137.081250,37.435416,137.084376,37.437500,3.9,50.506345,5637102623,0,0,0
2,137.081250,37.437500,137.084376,37.439583,3.9,54.949883,5637102641,0,0,0
2,137.081250,37.439583,137.084376,37.441666,3.9,56.818472,5637102643,0,0,0
