1,v01,JGD2000,2016/08/05 15:30:00,20160805150000,99,[gis][pga][al][ah][sinj],jshis,M1,5641
2,141.025001,37.529166,141.028126,37.531250,3.3,25.833658,5641203231,0,0,0
2,141.018750,37.556250,141.021876,37.558333,3.3,28.017443,5641206143,0,0,0
2,141.025001,37.550000,141.028126,37.552083,3.3,24.336512,5641206211,0,0,0
2,141.000001,37.485416,141.003125,37.487500,3.2,24.552835,5641108013,0,0,0
2,141.003125,37.485416,141.006251,37.487500,3.2,21.916175,5641108014,0,0,0
2,141.000001,37.487500,141.003125,37.489583,3.2,24.401665,5641108031,0,0,0
2,141.009376,37.518750,141.012501,37.520833,3.2,20.826354,5641202024,0,0,0
2,141.009376,37.520833,141.012501,37.522916,3.2,24.976013,5641202042,0,0,0
2,141.009376,37.522916,141.012501,37.525000,3.2,23.852351,5641202044,0,0,0
2,141.012501,37.518750,141.015626,37.520833,3.2,23.236655,5641202113,0,0,0
2,141.012501,37.520833,141.015626,37.522916,3.2,22.339352,5641202131,0,0,0
2,141.015626,37.520833,141.018750,37.522916,3.2,24.749653,5641202132,0,0,0
2,141.012501,37.522916,141.015626,37.525000,3.2,21.21569,5641202133,0,0,0
2,141.015626,37.522916,141.018750,37.525000,3.2,23.625991,5641202134,0,0,0
2,141.018750,37.520833,141.021876,37.522916,3.2,22.112993,5641202141,0,0,0
2,141.018750,37.522916,141.021876,37.525000,3.2,20.989331,5641202143,0,0,0
2,141.021876,37.522916,141.025001,37.525000,3.2,23.399632,5641202144,0,0,0
2,141.025001,37.522916,141.028126,37.525000,3.2,20.762971,5641202233,0,0,0
2,141.009376,37.525000,141.012501,37.527083,3.2,22.955048,5641203022,0,0,0
2,141.012501,37.525000,141.015626,37.527083,3.2,20.318388,5641203111,0,0,0
2,141.015626,37.525000,141.018750,37.527083,3.2,22.728689,5641203112,0,0,0
2,141.012501,37.527083,141.015626,37.529166,3.2,25.147125,5641203113,0,0,0
2,141.015626,37.527083,141.018750,37.529166,3.2,22.510464,5641203114,0,0,0
2,141.018750,37.525000,141.021876,37.527083,3.2,25.13899,5641203121,0,0,0
2,141.021876,37.525000,141.025001,37.527083,3.2,22.502329,5641203122,0,0,0
2,141.018750,37.527083,141.021876,37.529166,3.2,24.920765,5641203123,0,0,0
2,141.021876,37.527083,141.025001,37.529166,3.2,22.284105,5641203124,0,0,0
2,141.015626,37.529166,141.018750,37.531250,3.2,20.787376,5641203132,0,0,0
2,141.015626,37.531250,141.018750,37.533333,3.2,23.658531,5641203134,0,0,0
2,141.018750,37.529166,141.021876,37.531250,3.2,23.197677,5641203141,0,0,0
2,141.021876,37.529166,141.025001,37.531250,3.2,20.561017,5641203142,0,0,0
2,141.021876,37.531250,141.025001,37.533333,3.2,23.432172,5641203144,0,0,0
2,141.025001,37.525000,141.028126,37.527083,3.2,24.91263,5641203211,0,0,0
2,141.025001,37.527083,141.028126,37.529166,3.2,24.694406,5641203213,0,0,0
