1,v01,JGD2000,2016/08/05 15:30:00,20160805150000,99,[gis][pga][al][ah][sinj],jshis,M1,5432
2,132.993751,36.050000,132.996875,36.052083,4.3,76.691648,5432076921,0,0,0
2,132.978126,36.081250,132.981250,36.083333,4.2,74.641354,5432079834,0,0,0
2,132.978126,36.083333,132.981250,36.085416,4.2,79.08891,5432170812,0,0,0
2,132.981250,36.087500,132.984376,36.089583,4.2,71.652375,5432170841,0,0,0
2,132.981250,36.089583,132.984376,36.091666,4.2,75.367446,5432170843,0,0,0
2,132.990626,36.089583,132.993751,36.091666,4.2,66.102895,5432170934,0,0,0
2,132.993751,36.089583,132.996875,36.091666,4.2,73.902477,5432170943,0,0,0
2,132.968751,36.093750,132.971875,36.095833,4.2,77.195461,5432171723,0,0,0
2,132.981250,36.091666,132.984376,36.093750,4.2,70.550451,5432171821,0,0,0
2,132.984376,36.091666,132.987500,36.093750,4.2,78.350033,5432171822,0,0,0
2,132.990626,36.091666,132.993751,36.093750,4.2,77.617548,5432171912,0,0,0
2,132.956249,36.064583,132.959376,36.066666,4.1,68.915352,5432077643,0,0,0
2,132.984376,36.064583,132.987500,36.066666,4.1,58.723325,5432077844,0,0,0
2,132.978126,36.079166,132.981250,36.081250,4.1,61.113751,5432079832,0,0,0
2,132.993751,36.047916,132.996875,36.050000,4.0,60.763603,5432075943,0,0,0
2,132.981250,36.050000,132.984376,36.052083,4.0,55.078095,5432076821,0,0,0
2,132.959376,36.058333,132.962501,36.060416,4.0,59.695913,5432077622,0,0,0
2,132.984376,36.062500,132.987500,36.064583,4.0,61.205749,5432077842,0,0,0
2,132.975001,36.083333,132.978126,36.085416,4.0,56.366948,5432170811,0,0,0
2,132.978126,36.087500,132.981250,36.089583,4.0,63.400123,5432170832,0,0,0
2,132.984376,36.093750,132.987500,36.095833,4.0,53.132359,5432171824,0,0,0
2,132.993751,36.091666,132.996875,36.093750,4.0,54.624414,5432171921,0,0,0
2,132.984376,36.045833,132.987500,36.047916,3.9,54.117944,5432075842,0,0,0
2,132.981250,36.047916,132.984376,36.050000,3.9,55.061043,5432075843,0,0,0
2,132.984376,36.047916,132.987500,36.050000,3.9,49.062384,5432075844,0,0,0
2,132.987499,36.041666,132.990626,36.043750,3.9,53.776715,5432075911,0,0,0
2,132.990626,36.041666,132.993751,36.043750,3.9,47.778055,5432075912,0,0,0
2,132.987499,36.043750,132.990626,36.045833,3.9,53.174845,5432075913,0,0,0
2,132.990626,36.043750,132.993751,36.045833,3.9,47.176185,5432075914,0,0,0
2,132.987499,36.045833,132.990626,36.047916,3.9,48.119285,5432075931,0,0,0
2,132.990626,36.045833,132.993751,36.047916,3.9,53.602954,5432075932,0,0,0
2,132.987499,36.047916,132.990626,36.050000,3.9,54.546053,5432075933,0,0,0
2,132.971874,36.052083,132.975001,36.054166,3.9,55.917262,5432076724,0,0,0
2,132.965625,36.056250,132.968751,36.058333,3.9,49.229852,5432076734,0,0,0
2,132.971874,36.054166,132.975001,36.056250,3.9,49.316732,5432076742,0,0,0
2,132.968751,36.056250,132.971875,36.058333,3.9,54.713522,5432076743,0,0,0
2,132.971874,36.056250,132.975001,36.058333,3.9,48.714862,5432076744,0,0,0
2,132.975001,36.050000,132.978126,36.052083,3.9,49.490493,5432076811,0,0,0
2,132.978126,36.050000,132.981250,36.052083,3.9,54.974163,5432076812,0,0,0
2,132.975001,36.052083,132.978126,36.054166,3.9,49.918602,5432076813,0,0,0
2,132.978126,36.052083,132.981250,36.054166,3.9,55.402272,5432076814,0,0,0
2,132.984376,36.050000,132.987500,36.052083,3.9,54.459173,5432076822,0,0,0
2,132.981250,36.052083,132.984376,36.054166,3.9,49.403613,5432076823,0,0,0
2,132.984376,36.052083,132.987500,36.054166,3.9,54.887282,5432076824,0,0,0
2,132.975001,36.054166,132.978126,36.056250,3.9,54.800402,5432076831,0,0,0
2,132.978126,36.054166,132.981250,36.056250,3.9,48.801743,5432076832,0,0,0
2,132.975001,36.056250,132.978126,36.058333,3.9,54.198532,5432076833,0,0,0
2,132.978126,36.056250,132.981250,36.058333,3.9,48.199873,5432076834,0,0,0
2,132.981250,36.054166,132.984376,36.056250,3.9,54.285412,5432076841,0,0,0
2,132.984376,36.054166,132.987500,36.056250,3.9,48.286753,5432076842,0,0,0
2,132.981250,36.056250,132.984376,36.058333,3.9,53.683542,5432076843,0,0,0
2,132.987499,36.050000,132.990626,36.052083,3.9,48.460514,5432076911,0,0,0
2,132.987499,36.052083,132.990626,36.054166,3.9,48.888623,5432076913,0,0,0
2,132.956249,36.058333,132.959376,36.060416,3.9,47.598003,5432077621,0,0,0
2,132.962501,36.058333,132.965625,36.060416,3.9,47.083013,5432077711,0,0,0
2,132.965625,36.058333,132.968751,36.060416,3.9,52.566683,5432077712,0,0,0
2,132.968751,36.058333,132.971875,36.060416,3.9,46.568023,5432077721,0,0,0
2,132.971874,36.058333,132.975001,36.060416,3.9,52.051693,5432077722,0,0,0
2,132.975001,36.058333,132.978126,36.060416,3.9,46.053034,5432077811,0,0,0
2,132.996875,36.037500,133.000001,36.039583,3.8,50.7204,5432074942,0,0,0
2,132.993751,36.039583,132.996875,36.041666,3.8,49.727287,5432074943,0,0,0
2,132.996875,36.039583,133.000001,36.041666,3.8,44.393272,5432074944,0,0,0
2,132.993751,36.041666,132.996875,36.043750,3.8,47.360386,5432075921,0,0,0
2,132.996875,36.041666,133.000001,36.043750,3.8,42.026371,5432075922,0,0,0
2,132.993751,36.043750,132.996875,36.045833,3.8,46.825202,5432075923,0,0,0
2,132.996875,36.043750,133.000001,36.045833,3.8,41.491187,5432075924,0,0,0
2,132.990626,36.047916,132.993751,36.050000,3.8,43.168397,5432075934,0,0,0
2,132.993751,36.045833,132.996875,36.047916,3.8,42.329792,5432075941,0,0,0
2,132.984376,36.056250,132.987500,36.058333,3.8,42.401451,5432076844,0,0,0
2,132.990626,36.050000,132.993751,36.052083,3.8,47.967228,5432076912,0,0,0
2,132.990626,36.052083,132.993751,36.054166,3.8,48.347903,5432076914,0,0,0
2,132.987499,36.054166,132.990626,36.056250,3.8,47.81272,5432076931,0,0,0
2,132.990626,36.054166,132.993751,36.056250,3.8,42.478705,5432076932,0,0,0
2,132.987499,36.056250,132.990626,36.058333,3.8,47.277537,5432076933,0,0,0
2,132.990626,36.056250,132.993751,36.058333,3.8,41.943522,5432076934,0,0,0
2,132.946876,36.060416,132.950000,36.062500,3.8,48.793608,5432077524,0,0,0
2,132.943751,36.062500,132.946876,36.064583,3.8,46.265569,5432077541,0,0,0
2,132.946876,36.062500,132.950000,36.064583,3.8,40.931554,5432077542,0,0,0
2,132.943751,36.064583,132.946876,36.066666,3.8,49.368336,5432077543,0,0,0
