CODE,LAT,LON,MESH1ST,MESH2ND,MESH3RD,MESH4TH,MESH5TH
11013005100,43.319,142.363638,6442,644272,64427289,644272891,6442728913
11013005200,43.719468,142.401284,6542,654243,65424362,654243621,6542436213
11013005400,43.590733,142.467896,6542,654233,65423307,654233073,6542330734
11013005500,43.454636,142.466263,6542,654213,65421347,654213473,6542134732
11013005600,43.408974,142.422241,6542,654203,65420393,654203932,6542039322
11013005700,44.022825,142.412325,6642,664203,66420322,664203224,6642032242
11013005800,44.304576,142.631627,6642,664235,66423560,664235604,6642356041
11013005900,44.480191,142.348476,6642,664252,66425277,664252774,6642527742
11013006000,43.94082,141.64767,6541,654175,65417521,654175214,6541752144
11013006100,43.931444,141.677888,6541,654175,65417514,654175143,6541751433
11013006200,43.944333,141.63425,6541,654175,65417530,654175302,6541753023
11013006400,44.354611,141.694666,6641,664145,66414525,664145254,6641452541
11013006500,44.36036,141.703646,6641,664145,66414536,664145361,6641453612
11013006600,44.719878,141.793539,6741,674106,67410663,674106631,6741066314
11013006700,44.886666,141.749111,6741,674125,67412569,674125692,6741256924
11013007000,45.387222,141.696544,6841,684105,68410565,684105652,6841056523
11013007100,45.41333,141.673406,6841,684105,68410593,684105934,6841059342
11013007200,45.332068,142.117873,6742,674270,67427099,674270993,6742709934
11013007300,45.119373,142.366945,6742,674252,67425249,674252491,6742524914
11013007400,44.970471,142.283598,6742,674232,67423262,674232622,6742326223
11013007500,44.942861,142.575722,6742,674234,67423436,674234361,6742343611
11013007700,45.104809,141.778439,6741,674156,67415622,674156223,6741562232
11013007800,45.186733,141.138905,6741,674161,67416121,674161211,6741612113
11013007900,43.770767,142.340148,6542,654252,65425227,654252271,6542522713
11014000100,43.034159,144.356542,6444,644442,64444248,644442482,6444424821
11014000200,43.028716,144.39915,6444,644443,64444331,644443312,6444433124
11014000400,42.985776,144.382654,6444,644433,64443380,644433802,6444338023
11014000600,42.970111,144.436622,6444,644433,64443364,644433642,6444336424
11014000700,43.008467,144.371515,6444,644442,64444219,644442192,6444421921
11014000800,42.998361,144.374888,6444,644432,64443299,644432994,6444329944
11014000900,42.976916,144.403458,6444,644433,64443372,644433721,6444337212
11014001000,42.97886,144.418845,6444,644433,64443373,644433732,6444337323
11014001100,43.00158,144.381153,6444,644443,64444300,644443001,6444430012
11014001200,43.015833,144.316083,6444,644442,64444215,644442153,6444421534
11014001400,43.009355,144.273689,6444,644442,64444211,644442112,6444421122
11014001500,43.006357,144.384902,6444,644443,64444300,644443004,6444430044
11014001600,43.013744,144.351016,6444,644442,64444218,644442183,6444421831
11014001700,42.959861,144.445805,6444,644433,64443355,644433552,6444335521
11014002100,43.05747,144.846278,6444,644446,64444667,644446674,6444466743
11014002200,43.30044,144.59851,6444,644474,64447467,644474672,6444746722
11014002800,43.326288,145.570178,6445,644574,64457495,644574952,6445749521
11014003000,43.334287,145.586565,6545,654504,65450406,654504062,6545040622
11014003200,43.391662,145.121768,6545,654500,65450069,654500694,6545006943
11014003300,43.536394,144.972301,6544,654427,65442747,654427472,6544274724
11014003400,43.543975,144.927583,6544,654427,65442754,654427541,6544275413
11014003500,43.659105,145.119895,6545,654530,65453099,654530992,6545309921
11014003700,43.481474,144.46343,6544,654413,65441377,654413773,6544137733
11014003800,42.978332,144.386654,6444,644433,64443370,644433702,6444337024
11015000200,43.79343,143.871048,6543,654356,65435659,654356592,6543565921
11015000300,43.809512,143.868575,6543,654356,65435679,654356791,6543567912
11015000400,43.798985,143.859271,6543,654356,65435658,654356584,6543565843
11015000500,43.799901,143.857798,6543,654356,65435658,654356584,6543565843
11015000700,43.793014,143.889602,6543,654357,65435751,654357511,6543575111
11015000900,43.818944,143.874916,6543,654356,65435689,654356892,6543568924
11015001000,43.803541,143.891351,6543,654357,65435761,654357611,6543576114
11015001100,43.806679,143.89249,6543,654357,65435761,654357613,6543576134
11015001200,43.809138,143.893333,6543,654357,65435771,654357711,6543577112
11015001300,44.014608,144.269755,6644,664402,66440211,664402114,6644021143
11015001400,44.027222,144.254972,6644,664402,66440230,664402301,6644023014
11015001700,44.025527,144.263416,6644,664402,66440231,664402311,6644023111
11015001800,44.353583,143.352944,6643,664342,66434228,664342281,6643422813
11015002000,44.353695,143.356065,6643,664342,66434228,664342281,6643422814
11015002100,44.361694,143.346648,6643,664342,66434237,664342372,6643423723
11015002200,43.909534,144.171406,6544,654461,65446193,654461932,6544619321
11015002300,43.832222,144.106916,6544,654450,65445098,654450984,6544509843
11015002500,43.706666,144.0255,6544,654440,65444042,654440423,6544404233
11015002600,43.904988,144.663532,6544,654465,65446583,654465833,6544658331
11015002700,43.855878,144.460274,6544,654463,65446326,654463264,6544632642
11015002800,43.885583,143.980027,6543,654367,65436768,654367681,6543676814
11015002900,43.8635,143.928388,6543,654367,65436734,654367343,6543673432
11015003000,43.677799,143.587938,6543,654344,65434417,654344171,6543441713
11015003200,44.117566,144.065267,6644,664410,66441045,664410451,6644104511
11015003500,44.059535,143.525453,6643,664304,66430472,664304721,6643047211
11015003600,44.062701,143.524148,6643,664304,66430471,664304714,6643047142
11015003700,44.003065,143.338499,6643,664302,66430207,664302071,6643020713
11015003800,44.188383,143.591108,6643,664324,66432427,664324273,6643242732
11015004000,44.197595,143.062902,6643,664320,66432035,664320353,6643203531
11015004100,44.469984,143.118968,6643,664350,66435069,664350692,6643506923
11015004200,44.582305,142.95675,6642,664267,66426796,664267964,6642679643
11015004300,43.991527,144.266561,6544,654472,65447281,654472813,6544728134
11015004400,44.348777,143.339,6643,664342,66434217,664342173,6643421733
11015004500,43.826844,143.883545,6543,654357,65435790,654357902,6543579021
11016000300,43.057138,141.292138,6441,644142,64414263,644142633,6441426334
11016000400,43.043243,141.292935,6441,644142,64414253,644142531,6441425312
11016000500,43.062241,141.302823,6441,644142,64414274,644142741,6441427413
11016000600,43.041605,141.311961,6441,644142,64414244,644142444,6441424444
11016000900,43.041605,141.329182,6441,644142,64414246,644142463,6441424634
11016001200,43.039356,141.34407,6441,644142,64414247,644142474,6441424741
11016001300,43.039189,141.33521,6441,644142,64414246,644142464,6441424642
11016001400,43.048277,141.348305,6441,644142,64414257,644142574,6441425744
11016001500,43.056659,141.33732,6441,644142,64414266,644142664,6441426644
11016001600,43.056437,141.336376,6441,644142,64414266,644142664,6441426644
11016001700,43.055937,141.334431,6441,644142,64414266,644142664,6441426642
11016001800,43.055326,141.33332,6441,644142,64414266,644142664,6441426641
11016001900,43.031356,141.347542,6441,644142,64414237,644142374,6441423744
11016002000,43.02969,141.338988,6441,644142,64414237,644142373,6441423731
11016002100,43.027385,141.33796,6441,644142,64414237,644142371,6441423713
11016002200,43.02358,141.342599,6441,644142,64414227,644142273,6441422734
11016002300,43.056687,141.342264,6441,644142,64414267,644142673,6441426734
11016002700,43.058826,141.329154,6441,644142,64414276,644142761,6441427612
11016002800,43.047494,141.343153,6441,644142,64414257,644142573,6441425732
11016002900,43.071158,141.334486,6441,644142,64414286,644142864,6441428642
11016003000,43.072602,141.330042,6441,644142,64414286,644142863,6441428632
11016003100,43.073416,141.333416,6441,644142,64414286,644142864,6441428643
11016003200,43.062437,141.348041,6441,644142,64414277,644142772,6441427724
11016003300,43.063131,141.357457,6441,644142,64414278,644142784,6441427841
11016003400,43.0851,141.326347,6441,644152,64415206,644152061,6441520611
11016003500,43.052027,141.320694,6441,644142,64414265,644142652,6441426521
11016003600,43.06577,141.356818,6441,644142,64414278,644142784,6441427843
11016003700,43.067464,141.369178,6441,644142,64414289,644142892,6441428921
11016003800,43.06563,141.31621,6441,644142,64414275,644142753,6441427534
11016003900,43.065019,141.314738,6441,644142,64414275,644142753,6441427533
11016004200,43.152538,141.359008,6441,644152,64415288,644152882,6441528823
11016004300,43.155149,141.363813,6441,644152,64415289,644152893,6441528931
11016004700,43.112903,141.332651,6441,644152,64415236,644152364,6441523641
11016004800,43.112638,141.337277,6441,644152,64415236,644152364,6441523642
11016005000,43.102916,141.321,6441,644152,64415225,644152252,6441522523
11016005100,43.120041,141.298681,6441,644152,64415243,644152432,6441524324
11016005200,43.124388,141.287277,6441,644152,64415242,644152424,6441524244
11016005300,43.16487,141.358008,6441,644152,64415298,644152984,6441529843
11016005400,43.1444,141.317012,6441,644152,64415275,644152751,6441527514
11016006000,42.465548,140.882774,6340,634057,63405750,634057504,6340575043
11016006200,43.082018,141.346123,6441,644142,64414297,644142974,6441429743
11016006300,43.087767,141.339846,6441,644152,64415207,644152073,6441520731
11016006700,43.091767,141.350012,6441,644152,64415218,644152181,6441521811
11016006800,43.099488,141.32668,6441,644152,64415216,644152163,6441521633
11016007200,43.088351,141.399063,6441,644153,64415301,644153014,6441530142
11016007300,43.094861,141.412444,6441,644153,64415312,644153122,6441531224
11016007400,43.091129,141.403341,6441,644153,64415302,644153023,6441530234
11016007600,43.088323,141.391731,6441,644153,64415301,644153013,6441530132
11016007700,43.076602,141.357373,6441,644142,64414298,644142982,6441429821
11016007900,43.084657,141.371316,6441,644152,64415209,644152092,6441520921
11016008100,43.094516,141.347512,6441,644152,64415217,644152172,6441521724
11016008300,43.096683,141.360872,6441,644152,64415218,644152184,6441521842
11016008400,43.101016,141.376842,6441,644153,64415320,644153201,6441532011
11016008500,43.103655,141.365926,6441,644152,64415229,644152291,6441522914
11016008700,43.088267,141.349873,6441,644152,64415207,644152074,6441520742
11016008800,43.109543,141.344872,6441,644152,64415237,644152372,6441523721
11016008900,43.107654,141.344789,6441,644152,64415227,644152274,6441522743
11016009000,43.11275,141.367666,6441,644152,64415239,644152393,6441523932
11016009100,43.101127,141.346817,6441,644152,64415227,644152272,6441522721
11016009300,43.080463,141.37876,6441,644143,64414390,644143903,6441439032
11016009400,43.079963,141.389981,6441,644143,64414391,644143913,6441439131
11016009500,43.029192,141.44784,6441,644143,64414335,644143354,6441433542
11016009700,43.059298,141.37315,6441,644142,64414279,644142792,6441427922
11016009800,43.058271,141.374761,6441,644142,64414269,644142694,6441426944
11016010000,43.066909,141.402897,6441,644143,64414382,644143821,6441438211
11016010100,43.068659,141.40748,6441,644143,64414382,644143822,6441438221
11016010400,43.050883,141.394815,6441,644143,64414361,644143612,6441436121
11016010500,43.060271,141.40312,6441,644143,64414372,644143721,6441437211
11016010600,43.049083,141.387194,6441,644143,64414350,644143504,6441435044
11016010700,43.050638,141.387416,6441,644143,64414360,644143602,6441436022
11016010900,43.048411,141.398426,6441,644143,64414351,644143514,6441435144
11016011000,43.048939,141.399148,6441,644143,64414351,644143514,6441435144
11016011300,43.041694,141.41275,6441,644143,64414353,644143531,6441435311
11016011400,43.039524,141.427869,6441,644143,64414344,644143443,6441434431
11016011500,43.044412,141.416481,6441,644143,64414353,644143531,6441435314
11016011600,43.050633,141.406509,6441,644143,64414362,644143622,6441436221
11016011700,43.025553,141.396955,6441,644143,64414331,644143312,6441433122
11016011800,43.025858,141.386678,6441,644143,64414330,644143302,6441433022
11016011900,43.02222,141.403483,6441,644143,64414322,644143223,6441432232
11016012000,43.019776,141.407705,6441,644143,64414322,644143222,6441432223
11016012100,43.035136,141.475087,6441,644143,64414348,644143481,6441434811
11016012200,43.017748,141.421065,6441,644143,64414323,644143232,6441432321
11016012300,43.01297,141.387512,6441,644143,64414311,644143113,6441431131
11016012400,43.016303,141.388762,6441,644143,64414311,644143113,6441431133
11016012500,43.025774,141.356348,6441,644142,64414238,644142382,6441423821
11016012800,43.00611,141.353654,6441,644142,64414208,644142083,6441420832
11016012900,43.036468,141.366846,6441,644142,64414249,644142491,6441424914
11016013000,43.020414,141.371513,6441,644142,64414229,644142292,6441422923
11016013200,43.024802,141.382651,6441,644143,64414320,644143204,6441432043
11016013400,43.046605,141.37229,6441,644142,64414259,644142594,6441425942
11016013500,42.94356,141.344436,6441,644132,64413237,644132372,6441323721
11016013600,43.018997,141.362903,6441,644142,64414229,644142291,6441422913
11016013800,42.940449,141.330381,6441,644132,64413226,644132263,6441322634
11016014000,42.994333,141.349016,6441,644132,64413297,644132972,6441329724
11016014100,42.979612,141.333796,6441,644132,64413276,644132764,6441327641
11016014200,42.976473,141.337074,6441,644132,64413276,644132762,6441327622
11016014300,42.998721,141.338572,6441,644132,64413297,644132973,6441329733
