1,v01,JGD2000,2016/09/27 12:00:00,20160927120000,99,[gis][pga][al][ah][sinj],jshis,M1,5240
2,140.040625,35.329167,140.043750,35.331250,6.4,996.066933,5240709332,1.833493,3.604245,0.102687
2,140.040625,35.331250,140.043750,35.333333,6.4,933.54444,5240709334,1.771498,3.637355,0.215254
2,140.078125,35.289583,140.081250,35.291667,6.3,916.657088,5240704634,0.882915,2.085287,0.103391
2,140.065625,35.293750,140.068750,35.295833,6.3,878.46858,5240705514,0,0,0
2,140.068750,35.293750,140.071875,35.295833,6.3,777.994461,5240705523,0,0,0
2,140.056250,35.306250,140.059375,35.308333,6.3,914.691734,5240706443,0.374888,0.837226,0.00933
2,140.056250,35.308333,140.059375,35.310417,6.3,796.160953,5240707421,2.890493,6.682251,0.234772
2,140.056250,35.310417,140.059375,35.312500,6.3,818.197929,5240707423,1.191233,2.717095,0.070356
2,140.037500,35.327083,140.040625,35.329167,6.3,866.70213,5240709313,0.187444,0.418613,0.004665
2,140.040625,35.327083,140.043750,35.329167,6.3,958.550467,5240709314,2.382465,5.43419,0.140712
2,140.037500,35.329167,140.040625,35.331250,6.3,793.855494,5240709331,0.374888,0.837226,0.00933
2,140.075000,35.225000,140.078125,35.227083,6.2,822.772003,5240607611,1.63398,4.448722,0.068836
2,140.078125,35.227083,140.081250,35.229167,6.2,840.522051,5240607614,1.461457,4.056691,0.12088
2,140.075000,35.229167,140.078125,35.231250,6.2,694.928813,5240607631,1.064478,2.984828,0.111
2,140.078125,35.229167,140.081250,35.231250,6.2,776.600456,5240607632,0.396979,1.071863,0.00988
2,140.071875,35.239583,140.075000,35.241667,6.2,842.340531,5240608544,1.731978,4.897794,0.21212
2,140.075000,35.235417,140.078125,35.237500,6.2,755.849015,5240608613,0,0,0
2,140.078125,35.235417,140.081250,35.237500,6.2,837.520658,5240608614,0,0,0
2,140.078125,35.237500,140.081250,35.239583,6.2,847.600651,5240608632,1.329131,3.699403,0.117587
2,140.071875,35.241667,140.075000,35.243750,6.2,814.070245,5240609522,0.840022,2.304997,0.049076
2,140.065625,35.245833,140.068750,35.247917,6.2,742.18956,5240609532,0.6675,1.912966,0.10112
2,140.068750,35.247917,140.071875,35.250000,6.2,854.252392,5240609543,0,0,0
2,140.075000,35.241667,140.078125,35.243750,6.2,724.728545,5240609611,1.070347,3.111356,0.195653
2,140.056250,35.256250,140.059375,35.258333,6.2,705.093079,5240700443,0.402847,1.19839,0.094533
2,140.065625,35.250000,140.068750,35.252083,6.2,705.960182,5240700512,0.396979,1.071863,0.00988
2,140.068750,35.250000,140.071875,35.252083,6.2,787.631826,5240700521,0,0,0
2,140.056250,35.258333,140.059375,35.260417,6.2,771.135576,5240701421,0.489109,1.394406,0.068511
2,140.056250,35.275000,140.059375,35.277083,6.2,702.491768,5240703421,0.132326,0.357288,0.003293
2,140.062500,35.277083,140.065625,35.279167,6.2,702.202734,5240703513,0,0,0
2,140.068750,35.114583,140.071875,35.116667,6.1,634.810795,5240503543,1.797278,5.543022,0.124772
2,140.062500,35.116667,140.065625,35.118750,6.1,687.854322,5240504511,0,0,0
2,140.065625,35.116667,140.068750,35.118750,6.1,608.411583,5240504512,0,0,0
2,140.062500,35.118750,140.065625,35.120833,6.1,693.156294,5240504513,0.79263,2.4058,0.026554
2,140.068750,35.116667,140.071875,35.118750,6.1,681.0341,5240504521,1.208923,3.691314,0.056641
2,140.087500,35.314583,140.090625,35.316667,6.1,697.440758,5240707733,1.824227,6.271686,0.102074
