1,v01,JGD2000,2016/09/27 12:00:00,20160927120000,99,[gis][pga][al][ah][sinj],jshis,M1,5440
2,140.000000,36.000000,140.003125,36.002083,5.9,561.711909,5440000011,0,0,0
2,140.003125,36.000000,140.006250,36.002083,5.9,498.898233,5440000012,0,0,0
2,140.000000,36.002083,140.003125,36.004167,5.9,492.402081,5440000013,0,0,0
2,140.003125,36.002083,140.006250,36.004167,5.9,549.823153,5440000014,0,0,0
2,140.006250,36.000000,140.009375,36.002083,5.9,556.319305,5440000021,0,0,0
2,140.009375,36.000000,140.012500,36.002083,5.9,493.505629,5440000022,0,0,0
2,140.006250,36.002083,140.009375,36.004167,5.9,487.009477,5440000023,0,0,0
2,140.009375,36.002083,140.012500,36.004167,5.9,544.430549,5440000024,0.12727,0.814383,0.007533
2,140.000000,36.004167,140.003125,36.006250,5.9,543.327001,5440000031,0,0,0
2,140.003125,36.004167,140.006250,36.006250,5.9,600.748072,5440000032,0,0,0
2,140.000000,36.006250,140.003125,36.008333,5.9,594.25192,5440000033,0,0,0
2,140.003125,36.006250,140.006250,36.008333,5.9,531.438244,5440000034,0,0,0
2,140.006250,36.004167,140.009375,36.006250,5.9,537.934397,5440000041,0,0,0
2,140.009375,36.004167,140.012500,36.006250,5.9,595.355468,5440000042,0.048274,0.311948,0.001573
2,140.006250,36.006250,140.009375,36.008333,5.9,588.859316,5440000043,0.085582,0.536948,0.009562
2,140.009375,36.006250,140.012500,36.008333,5.9,526.04564,5440000044,0.333536,2.1312,0.021027
2,140.012500,36.002083,140.015625,36.004167,5.9,481.616873,5440000113,0.206266,1.316818,0.013494
2,140.018750,36.000000,140.021875,36.002083,5.9,545.534097,5440000121,0.078996,0.502435,0.005961
2,140.021875,36.000000,140.025000,36.002083,5.9,482.720421,5440000122,0.193095,1.247792,0.006291
2,140.018750,36.002083,140.021875,36.004167,5.9,596.459017,5440000123,0.333536,2.1312,0.021027
2,140.021875,36.002083,140.025000,36.004167,5.9,533.645341,5440000124,0.289642,1.871688,0.009437
2,140.012500,36.004167,140.015625,36.006250,5.9,532.541793,5440000131,0.789961,5.024348,0.059605
2,140.012500,36.006250,140.015625,36.008333,5.9,583.466712,5440000133,0.917231,5.83873,0.067139
2,140.018750,36.004167,140.021875,36.006250,5.9,527.149189,5440000141,0.048274,0.311948,0.001573
2,140.021875,36.004167,140.025000,36.006250,5.9,584.57026,5440000142,0.054859,0.346461,0.005174
2,140.018750,36.006250,140.021875,36.008333,5.9,578.074108,5440000143,0.094373,0.553538,0.026782
2,140.021875,36.006250,140.025000,36.008333,5.9,515.260432,5440000144,0.131681,0.778538,0.034771
2,140.093750,36.000000,140.096875,36.002083,5.9,601.057597,5440000721,0,0,0
2,140.096875,36.000000,140.100000,36.002083,5.9,538.243921,5440000722,0.019711,0.126162,0.000473
2,140.093750,36.002083,140.096875,36.004167,5.9,531.747769,5440000723,0.006789,0.036249,0.00358
2,140.096875,36.002083,140.100000,36.004167,5.9,589.168841,5440000724,0,0,0
2,140.093750,36.004167,140.096875,36.006250,5.9,582.672688,5440000741,0,0,0
2,140.096875,36.004167,140.100000,36.006250,5.9,519.859013,5440000742,0,0,0
2,140.093750,36.006250,140.096875,36.008333,5.9,513.36286,5440000743,0.48339,3.00494,0.022624
2,140.096875,36.006250,140.100000,36.008333,5.9,570.783932,5440000744,0,0,0
2,140.000000,36.008333,140.003125,36.010417,5.9,530.334696,5440001011,0,0,0
2,140.003125,36.008333,140.006250,36.010417,5.9,587.755768,5440001012,0,0,0
2,140.000000,36.010417,140.003125,36.012500,5.9,523.838544,5440001013,0,0,0
2,140.003125,36.010417,140.006250,36.012500,5.9,581.259616,5440001014,0,0,0
2,140.006250,36.008333,140.009375,36.010417,5.9,524.942092,5440001021,0.261125,1.663278,0.018668
2,140.009375,36.008333,140.012500,36.010417,5.9,582.363164,5440001022,0.76803,4.850451,0.072438
2,140.006250,36.010417,140.009375,36.012500,5.9,518.44594,5440001023,0,0,0
2,140.000000,36.012500,140.003125,36.014583,5.9,569.370859,5440001031,0.298433,1.888278,0.026657
2,140.003125,36.012500,140.006250,36.014583,5.9,506.557184,5440001032,0,0,0
2,140.003125,36.014583,140.006250,36.016667,5.9,494.668428,5440001034,0,0,0
2,140.006250,36.012500,140.009375,36.014583,5.9,563.978256,5440001041,0,0,0
2,140.006250,36.014583,140.009375,36.016667,5.9,552.089499,5440001043,0,0,0
2,140.009375,36.014583,140.012500,36.016667,5.9,489.275824,5440001044,0.24578,1.523895,0.035102
2,140.012500,36.008333,140.015625,36.010417,5.9,519.549488,5440001111,0.212852,1.351331,0.017095
2,140.012500,36.010417,140.015625,36.012500,5.9,513.053336,5440001113,0.57711,3.673018,0.04251
2,140.018750,36.008333,140.021875,36.010417,5.9,514.156884,5440001121,0,0,0
2,140.021875,36.008333,140.025000,36.010417,5.9,571.577956,5440001122,0.168958,1.091818,0.005505
2,140.018750,36.010417,140.021875,36.012500,5.9,507.660732,5440001123,0,0,0
2,140.021875,36.010417,140.025000,36.012500,5.9,565.081804,5440001124,0,0,0
2,140.012500,36.012500,140.015625,36.014583,5.9,558.585652,5440001131,0.32257,2.044252,0.027444
2,140.015625,36.012500,140.018750,36.014583,5.9,495.771976,5440001132,0.528836,3.361069,0.040937
2,140.012500,36.014583,140.015625,36.016667,5.9,546.696895,5440001133,0,0,0
2,140.015625,36.014583,140.018750,36.016667,5.9,483.88322,5440001134,0.157992,1.00487,0.011921
2,140.018750,36.012500,140.021875,36.014583,5.9,553.193048,5440001141,0.241368,1.55974,0.007864
2,140.021875,36.012500,140.025000,36.014583,5.9,490.379372,5440001142,0.120684,0.77987,0.003932
2,140.021875,36.014583,140.025000,36.016667,5.9,598.725363,5440001144,0.513459,3.309967,0.020116
2,140.025000,36.010417,140.028125,36.012500,5.9,502.268128,5440001213,0.048274,0.311948,0.001573
2,140.025000,36.012500,140.028125,36.014583,5.9,547.800444,5440001231,0.085582,0.536948,0.009562
2,140.025000,36.014583,140.028125,36.016667,5.9,535.911687,5440001233,0,0,0
2,140.028125,36.014583,140.031250,36.016667,5.9,593.332759,5440001234,0.096547,0.623896,0.003146
2,140.096875,36.008333,140.100000,36.010417,5.9,506.866708,5440001722,0,0,0
2,140.096875,36.010417,140.100000,36.012500,5.9,500.370556,5440001724,0.09714,0.608034,0.00265
2,140.000000,36.016667,140.003125,36.018750,5.9,545.593347,5440002011,0.151407,0.970357,0.00848
2,140.006250,36.016667,140.009375,36.018750,5.9,540.200743,5440002021,0.120684,0.77987,0.003932
2,140.009375,36.016667,140.012500,36.018750,5.9,597.621815,5440002022,0.098753,0.605973,0.016765
2,140.009375,36.018750,140.012500,36.020833,5.9,528.311987,5440002024,0.278676,1.784739,0.015853
2,140.012500,36.016667,140.015625,36.018750,5.9,534.808139,5440002111,0,0,0
2,140.012500,36.018750,140.015625,36.020833,5.9,585.733059,5440002113,0.030722,0.190487,0.004388
2,140.015625,36.018750,140.018750,36.020833,5.9,522.919383,5440002114,0,0,0
2,140.018750,36.016667,140.021875,36.018750,5.9,529.415535,5440002121,0.188715,1.195356,0.016309
2,140.021875,36.016667,140.025000,36.018750,5.9,586.836607,5440002122,0.430083,2.755096,0.024173
2,140.018750,36.018750,140.021875,36.020833,5.9,580.340455,5440002123,0,0,0
2,140.015625,36.020833,140.018750,36.022917,5.9,516.423231,5440002132,0.193095,1.247792,0.006291
2,140.015625,36.022917,140.018750,36.025000,5.9,509.927079,5440002134,0.272091,1.750227,0.012252
2,140.018750,36.020833,140.021875,36.022917,5.9,573.844303,5440002141,0,0,0
2,140.021875,36.020833,140.025000,36.022917,5.9,511.030627,5440002142,0.285262,1.819252,0.019454
2,140.018750,36.022917,140.021875,36.025000,5.9,567.34815,5440002143,0.006586,0.034513,0.003601
2,140.021875,36.022917,140.025000,36.025000,5.9,504.534475,5440002144,0.563938,3.603992,0.035307
2,140.025000,36.016667,140.028125,36.018750,5.9,524.022931,5440002211,0,0,0
2,140.028125,36.016667,140.031250,36.018750,5.9,581.444003,5440002212,0.024137,0.155974,0.000786
2,140.025000,36.018750,140.028125,36.020833,5.9,574.947851,5440002213,0,0,0
2,140.028125,36.018750,140.031250,36.020833,5.9,512.134175,5440002214,0.078996,0.502435,0.005961
2,140.025000,36.020833,140.028125,36.022917,5.9,568.451699,5440002231,0.182129,1.160843,0.012707
2,140.028125,36.020833,140.031250,36.022917,5.9,505.638023,5440002232,0,0,0
2,140.025000,36.022917,140.028125,36.025000,5.9,561.955546,5440002233,0.078996,0.502435,0.005961
2,140.028125,36.022917,140.031250,36.025000,5.9,499.141871,5440002234,0,0,0
2,140.000000,36.025000,140.003125,36.027083,5.9,582.422414,5440003011,0.139491,0.868545,0.004733
2,140.000000,36.027083,140.003125,36.029167,5.9,570.533658,5440003013,0.586649,3.600596,0.05436
2,140.003125,36.027083,140.006250,36.029167,5.9,507.719982,5440003014,0.108843,0.654517,0.019006
2,140.006250,36.027083,140.009375,36.029167,5.9,565.141054,5440003023,0.11788,0.728183,0.007828
2,140.000000,36.029167,140.003125,36.031250,5.9,558.644902,5440003031,0.111593,0.694836,0.003786
2,140.003125,36.029167,140.006250,36.031250,5.9,495.831226,5440003032,0.068371,0.414113,0.009976
2,140.000000,36.031250,140.003125,36.033333,5.9,568.326561,5440003033,0.055796,0.347418,0.001893
2,140.003125,36.031250,140.006250,36.033333,5.9,505.512886,5440003034,0.027898,0.173709,0.000947
2,140.006250,36.029167,140.009375,36.031250,5.9,553.252298,5440003041,0.034185,0.207056,0.004988
2,140.009375,36.029167,140.012500,36.031250,5.9,490.438622,5440003042,0.396861,2.465272,0.017294
2,140.006250,36.031250,140.009375,36.033333,5.9,562.933957,5440003043,0.37525,2.324911,0.020389
2,140.009375,36.031250,140.012500,36.033333,5.9,500.120282,5440003044,0,0,0
2,140.015625,36.025000,140.018750,36.027083,5.9,508.82353,5440003112,0,0,0
2,140.018750,36.025000,140.021875,36.027083,5.9,566.244602,5440003121,0.168958,1.091818,0.005505
